prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
21073.0,100.0,4.157074928283691,6.428997993469238,23,1,1745612120.441196,1745612131.0272696
21202.0,100.0,25.28081774711609,10.13826584815979,23,2,1745612137.1685827,1745612172.587667
21073.0,100.0,9.898510932922363,10.115156412124634,24,1,1745612124.8476245,1745612144.8612926
21202.0,100.0,23.085145473480225,4.622149467468262,24,2,1745612144.8802617,1745612172.5875576
21331.0,100.0,26.530535221099854,12.070083856582642,24,3,1745612172.6655884,1745612211.2662082
21073.0,100.0,14.27618956565857,11.985219717025757,25,1,1745612129.3564901,1745612155.617901
21202.0,100.0,24.40079641342163,6.439594984054565,25,2,1745612155.6249175,1745612186.4653096
21331.0,100.0,26.616825819015503,12.08483600616455,25,3,1745612186.5321004,1745612225.2337632
21073.0,100.0,1.9385554790496826,11.953705310821533,26,1,1745612117.135759,1745612131.0280206
21202.0,100.0,18.414741277694702,6.436293125152588,26,2,1745612133.8635445,1745612158.7145789
21331.0,100.0,26.520960807800293,12.054614305496216,26,3,1745612158.7301764,1745612197.305752
21460.0,100.0,26.34072184562683,4.635028123855591,26,4,1745612197.3693027,1745612228.3450532
21073.0,100.0,4.870244979858398,4.615863800048828,27,1,1745612121.5426786,1745612131.0287883
21202.0,100.0,26.02700448036194,8.293142318725586,27,2,1745612138.2699733,1745612172.590121
21331.0,100.0,29.672383308410645,12.028441905975342,27,3,1745612172.6736329,1745612214.3744595
21460.0,100.0,26.66550087928772,10.103776931762695,27,4,1745612214.4316452,1745612251.2009237
21073.0,100.0,10.638113498687744,8.27344536781311,28,1,1745612125.9495816,1745612144.861141
21202.0,100.0,33.289679288864136,8.292003393173218,28,2,1745612144.8858929,1745612186.4675763
21331.0,100.0,31.611355781555176,10.193235158920288,28,3,1745612186.5397973,1745612228.3443892
21073.0,100.0,16.290151596069336,11.968150615692139,29,1,1745612130.4587538,1745612158.7170565
21202.0,100.0,31.47506809234619,10.212357759475708,29,2,1745612158.7383306,1745612200.4257581
21331.0,100.0,26.640211582183838,12.087644100189209,29,3,1745612200.475926,1745612239.2037826
21073.0,100.0,2.6787188053131104,10.10947322845459,30,1,1745612118.237769,1745612131.0259619
21202.0,100.0,19.13458228111267,4.617921829223633,30,2,1745612134.9649956,1745612158.7175004
21331.0,100.0,33.331385374069214,8.353368282318115,30,3,1745612158.7439313,1745612200.4286857
21460.0,100.0,29.77310085296631,12.06595492362976,30,4,1745612200.483695,1745612242.3227518
21073.0,100.0,7.156914710998535,11.970240354537964,31,1,1745612122.6444213,1745612141.7715776
21202.0,100.0,24.369009971618652,6.445260047912598,31,2,1745612141.7757156,1745612172.5899863
21331.0,100.0,31.524843454360962,10.165499448776245,31,3,1745612172.6837149,1745612214.3740582
21460.0,100.0,29.797025203704834,8.01705265045166,31,4,1745612214.4408371,1745612252.254916
21073.0,100.0,11.381294965744019,6.427565813064575,32,1,1745612127.052566,1745612144.8614275
21202.0,100.0,29.592124462127686,11.982091426849365,32,2,1745612144.8912077,1745612186.4654243
21331.0,100.0,29.741291999816895,12.05368947982788,32,3,1745612186.5475948,1745612228.3425772
21073.0,100.0,17.02406120300293,10.132311820983887,33,1,1745612131.5605547,1745612158.7169285
21202.0,100.0,29.614684104919434,12.06071424484253,33,2,1745612158.7517815,1745612200.4271808
21331.0,100.0,35.37324666976929,6.459481716156006,33,3,1745612200.4928057,1745612242.3255348
21073.0,100.0,3.4183926582336426,8.268067598342896,34,1,1745612119.3396053,1745612131.026066
21202.0,100.0,21.422045469284058,12.004875421524048,34,2,1745612136.0664394,1745612169.493361
21331.0,100.0,26.21503448486328,4.652324199676514,34,3,1745612169.560665,1745612200.4280243
21460.0,100.0,31.628758907318115,10.19662880897522,34,4,1745612200.500005,1745612242.3253934
21073.0,100.0,9.160619497299194,11.953988075256348,35,1,1745612123.746045,1745612144.8606536
21202.0,100.0,31.4317569732666,10.137228965759277,35,2,1745612144.8965511,1745612186.4655378
21331.0,100.0,33.459380865097046,8.327415227890015,35,3,1745612186.5556536,1745612228.3424506
21073.0,100.0,12.089783668518066,4.614094257354736,36,1,1745612128.1544967,1745612144.8583753
21202.0,100.0,26.46171474456787,12.000869989395142,36,2,1745612144.901881,1745612183.3644667
21331.0,100.0,26.30584692955017,4.642353773117065,36,3,1745612183.4268317,1745612214.375033
21460.0,100.0,33.50644659996033,4.2984254360198975,36,4,1745612214.4497504,1745612252.2546234
21073.0,100.0,0.5346601009368896,11.479750633239746,37,1,1745612115.926619,1745612127.9410307
21202.0,100.0,17.770016193389893,8.282682657241821,37,2,1745612132.6620028,1745612158.7147026
21331.0,100.0,35.18152093887329,6.4898600578308105,37,3,1745612158.7571511,1745612200.428533
21460.0,100.0,33.49338412284851,8.322473526000977,37,4,1745612200.509043,1745612242.324901
21073.0,100.0,23.53585958480835,11.985810279846191,38,1,1745612137.0681844,1745612172.589855
21202.0,100.0,33.36529731750488,8.31625747680664,38,2,1745612172.691124,1745612214.3726797
21331.0,100.0,35.33423209190369,2.4604249000549316,38,3,1745612214.4586372,1745612252.2532952
21073.0,100.0,23.607436656951904,4.630997180938721,39,1,1745612158.2290008,1745612186.4674354
21202.0,100.0,35.29923152923584,6.482343435287476,39,2,1745612186.5631578,1745612228.3447335
21073.0,100.0,28.474576473236084,6.479888677597046,40,1,1745612179.420416,1745612214.374882
21202.0,100.0,31.617635011672974,6.169763088226318,40,2,1745612214.465759,1745612252.2531583
21073.0,100.0,37.10204315185547,4.645868539810181,41,1,1745612200.5768673,1745612242.3247797
